"da[, 1]","PCoVaR1DL","PCoVaR2DL","PCoVaR3DL","PCoVaR4DL","PCoVaR5DL","PCoVaR6DL","VaR1D","PCoVaR2DR","PCoVaR3DR","PCoVaR4DR","PCoVaR5DR","PCoVaR6DR","PCoVaR1UL","PCoVaR2UL","PCoVaR3UL","PCoVaR4UL","PCoVaR5UL","PCoVaR6UL","PCoVaR1UR","PCoVaR2UR","PCoVaR3UR","PCoVaR4UR","PCoVaR5UR","PCoVaR6UR"
"2020-03-17",1.020079689046,0.939813708085424,0.225423948910892,0.885216079793868,0.314844731061919,0.539396656474516,1.62765355146048,1.37257180153398,0.243846278778233,0.848059624948067,0.272673511621371,0.46170809253414,0.98941508439301,0.896726205899328,0.223213990921818,0.844677465008615,1.04736890592671,1.1109963568587,1.50506180635933,1.48188992916702,-0.621266350561389,0.986274577037278,-0.475598347812991,-0.503295608398454
"2020-03-18",1.02074086252655,0.939664878298851,0.225547176758393,0.885075906798331,0.315016843136558,0.539691530145186,1.63384826369343,1.37779568440617,0.244774339844016,0.848609330295553,0.272850241779779,0.461634984172872,0.98879382219752,0.896870325969024,0.223093287597342,0.844813218076699,1.04680255883001,1.11039560030992,1.50511627263702,1.3382059974488,-0.595764048881787,0.870459940000457,-0.441184835124908,-0.437893188550845
"2020-03-19",1.02079501635754,0.939220618539807,0.225502479962446,0.884657475194816,0.314954411475515,0.539584580649914,1.63062698673492,1.37507926148899,0.244291738493485,0.848654311899421,0.272864699974966,0.461416734833412,0.988743000833732,0.89730101804918,0.223137033179115,0.845218912502834,1.04700782396672,1.11061333670098,1.56578502731443,1.24668362837291,-0.602374305447169,0.754831795051588,-0.462966726991565,-0.424085581101686
"2020-03-20",1.02169176858153,0.938869907697576,0.225628973935474,0.88432711634758,0.315131081304139,0.539887244755159,1.63304578599276,1.3771189657124,0.244654115273106,0.849399859299859,0.273104444229213,0.461244440677754,0.987903198075843,0.897641699871185,0.223013322497256,0.845539806662525,1.04642733123435,1.10999758214966,1.66060635282538,1.10280862190481,-0.567140574791732,0.583228811749431,-0.436709786011125,-0.330350766649068
"2020-03-23",1.02211008454548,0.939041932155334,0.225590166306612,0.884489149578147,0.315076875160676,0.539794387878493,1.63324361028384,1.377285798625,0.244683741673795,0.849747637995944,0.273216258406007,0.461328940772714,0.987512379383099,0.897474557419502,0.22305124527484,0.845382370996157,1.04660527404567,1.1101863402364,1.71976963640139,1.15369324131574,-0.580278874313814,0.585977183245812,-0.465801676901494,-0.366094312331453
"2020-03-24",1.02048034794083,0.938251037514934,0.225599778588325,0.883744208489363,0.315090306779237,0.539817390704952,1.62246766470229,1.368198621121,0.243069353534032,0.848392713411502,0.272780590401135,0.460940402029978,0.989038399111175,0.898243998594327,0.223041852611074,0.846107151706614,1.04656120772461,1.11013959195709,1.6600030335104,1.04883611817889,-0.546706818117756,0.544099217390808,-0.408361332612807,-0.278591704199795
"2020-03-25",1.02042145333072,0.938187271775987,0.225742844789745,0.883684133698238,0.315290119157368,0.540159717472634,1.62014474839196,1.36623973984302,0.242721363049989,0.848343745649629,0.272764863167134,0.46090905930305,0.989093708692269,0.898306158375982,0.222902188106892,0.846165698783221,1.0459058633528,1.1094444417312,1.6942209541951,1.06079789296745,-0.488879317729763,0.533506396409477,-0.341011649813668,-0.190893075823688
"2020-03-26",1.02013638571923,0.938249392076652,0.225891249128687,0.883742641695241,0.315497390533235,0.540514815325727,1.61880703380566,1.36511169695075,0.24252095525508,0.848106780315963,0.272688656634221,0.460939580827866,0.989361690105126,0.898245575455796,0.222757688493418,0.846108636238474,1.04522783105273,1.10872521545064,1.67286883984396,1.10194186003655,-0.431290924364558,0.576857481638436,-0.260605156442894,-0.117149896712381
"2020-03-27",1.02066032582234,0.938344997259766,0.226058691041635,0.883832705296181,0.315731258309809,0.540915473701151,1.62337023149583,1.36895974937304,0.243204572835782,0.848542370525146,0.272828708474449,0.460986545281353,0.988869395030997,0.898152459574001,0.222595096876278,0.846020929026861,1.04446491141885,1.10791595116484,1.67224741982482,1.06737260765716,-0.391168285066,0.550779570611079,-0.209205113405455,-0.039953690017982
"2020-03-30",1.02133306413079,0.938653693289007,0.226017343849144,0.884123459272303,0.315673513540181,0.540816544092725,1.63013457636688,1.37466399437249,0.244217976090638,0.849101647881588,0.273008554255608,0.461138205219179,0.988238758253705,0.897851948122843,0.222635201813822,0.845737861471278,1.04465311327566,1.1081155751595,1.65634539530246,1.07391046255529,-0.430999661047849,0.564314368878539,-0.257793301681405,-0.106883016176246
